Course,Title,Quarter,Year,Day and Time,Instructor,Total Enrollment after  Phase 1,Seats Available after Phase 1,Phase 1 Price,Total Enrollment after  Phase 2,Seats Available after Phase 2,Phase 2 Price,Total Enrollment after  Phase 1 New Students,Seats Available after Phase 1 New Students,Phase 1 New Students Price,Total Enrollment after  Phase 2 New Students,Seats Available after Phase 2 New Students,Phase 2 New Students Price,Total Enrollment after  Phase 3,Seats Available after Phase 3,Phase 3 Price,Total Enrollment after  Phase 4,Seats Available after Phase 4,Phase 4 Price
33040-01,Macroeconomics,Autumn,2018,"Wednesday, 1:30 -  4:30","Huizinga, John",27,38,0,34,31,0,44,21,0,47,18,0,47,18,0,39,26,0
33040-02,Macroeconomics,Autumn,2018,"Thursday, 1:30 -  4:30","Huizinga, John",14,51,0,14,51,0,16,49,0,19,46,0,16,49,0,16,49,0
33040-81,Macroeconomics,Autumn,2018,"Wednesday, 6:00 -  9:00","Huizinga, John",16,49,0,15,50,0,16,49,0,15,50,N/A,21,44,0,18,47,N/A
33101-01,Advanced Microeconomic Analysis,Autumn,2018,"Wednesday, 8:30 - 11:30","Murphy, Kevin",36,34,0,35,35,0,70,CLO,5441,70,CLO,6264,70,CLO,81,70,CLO,4801
33101-81,Advanced Microeconomic Analysis,Autumn,2018,"Tuesday, 6:00 -  9:00","Murphy, Kevin",21,44,0,20,45,N/A,27,38,0,27,38,N/A,65,CLO,100,65,CLO,N/A
33310-81,Employment Law for Entrepreneurs and Managers,Autumn,2018,"Thursday, 6:00 -  9:00","Pogrund, David",23,42,0,22,43,0,24,41,0,23,42,N/A,18,47,0,18,47,N/A
33502-01,International Financial Policy,Autumn,2018,"Tuesday, 8:30 - 11:30","Neiman, Brent",37,28,0,40,25,0,40,25,N/A,40,25,N/A,47,18,0,48,17,0
33502-02,International Financial Policy,Autumn,2018,"Tuesday, 1:30 -  4:30","Neiman, Brent",23,42,0,32,33,0,65,CLO,1,65,CLO,1012,59,6,0,59,6,0
33502-81,International Financial Policy,Autumn,2018,"Tuesday, 6:00 -  9:00","Neiman, Brent",36,29,0,37,28,0,37,28,N/A,37,28,N/A,39,26,0,39,26,0
33520-01,The Wealth of Nations,Autumn,2018,"Monday, 1:30 -  4:30","Hsieh, Chang-Tai",35,30,0,43,22,0,51,14,0,53,12,0,53,12,0,52,13,0
33520-81,The Wealth of Nations,Autumn,2018,"Tuesday, 6:00 -  9:00","Hsieh, Chang-Tai",39,26,0,32,33,0,32,33,N/A,32,33,N/A,34,31,0,35,30,0
33520-85,The Wealth of Nations,Autumn,2018,"Saturday, 1:30 -  4:30","Hsieh, Chang-Tai",26,39,0,27,38,0,35,30,0,31,34,0,28,37,0,26,39,N/A
33610-60,Applied Economics Workshop,Autumn,2018,"Wednesday, 1:20 -  2:50","Dizon-Ross, Rebecca;Hornbeck, Richard",3,57,0,3,57,N/A,3,57,N/A,3,57,N/A,4,56,0,4,56,N/A
33650-60,Workshop in Macro and International Economics,Autumn,2018,"Monday,11:45 -  1:15","Adao, Rodrigo;Hsieh, Chang-Tai;Vavra, Joseph",0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A
33911-50,The Economics of Information,Autumn,2018,"Tuesday,10:00 -  1:00","Harris, Milton",6,19,0,7,18,0,7,18,N/A,8,17,N/A,17,8,0,17,8,N/A
33914-50,Topics in Information Economics,Autumn,2018,"Wednesday, 3:00 -  6:00","Kamenica, Emir",0,24,N/A,0,24,N/A,1,23,0,1,23,N/A,2,22,0,3,21,0
33921-50,Advanced Industrial Organization I,Autumn,2018,"Friday, 8:30 - 11:30","Syverson, Chad",3,62,0,4,61,0,4,61,N/A,4,61,N/A,7,58,0,7,58,N/A
33946-50,International Macroeconomics and Trade,Autumn,2018,"Monday, 8:30 - 11:30","Dingel, Jonathan",0,19,N/A,0,19,N/A,0,19,N/A,0,19,N/A,0,19,N/A,0,19,N/A
34101-01,Entrepreneurial Finance and Private Equity,Autumn,2018,"Monday, Wednesday,10:10 - 11:30","Kaplan, Steven",70,CLO,7766,70,CLO,N/A,70,CLO,N/A,70,CLO,N/A,70,CLO,N/A,70,CLO,N/A
34101-02,Entrepreneurial Finance and Private Equity,Autumn,2018,"Monday, Wednesday, 1:30 -  2:50","Kaplan, Steven",70,CLO,7,70,CLO,N/A,70,CLO,N/A,70,CLO,N/A,70,CLO,0,70,CLO,N/A
34101-81,Entrepreneurial Finance and Private Equity,Autumn,2018,"Wednesday, 6:00 -  9:00","Kaplan, Steven",54,11,0,56,9,0,56,9,N/A,56,9,N/A,65,CLO,8889,65,CLO,13710
34102-01,New Venture Strategy,Autumn,2018,"Thursday, 1:30 -  4:30","Schrager, James",65,CLO,4693,65,CLO,8222,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A
34102-81,New Venture Strategy,Autumn,2018,"Thursday, 6:00 -  9:00","Bunch, Gregory",65,CLO,51,57,8,0,65,CLO,500,64,1,0,65,CLO,1999,65,CLO,0
34103-85,Building the New Venture,Autumn,2018,"Saturday, 9:00 - 12:00","Lyman, Lindsey",45,CLO,4354,45,CLO,17989,45,CLO,N/A,45,CLO,N/A,45,CLO,8849,45,CLO,N/A
34106-01,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Autumn,2018,"Wednesday, 1:30 -  4:30","Meadow, Scott",55,CLO,1111,55,CLO,5313,55,CLO,N/A,55,CLO,N/A,55,CLO,9129,55,CLO,10000
34106-81,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Autumn,2018,"Tuesday, 6:00 -  9:00","Meadow, Scott",47,8,0,48,7,0,50,5,0,50,5,N/A,55,CLO,2399,55,CLO,6999
34111-01,Entrepreneurial Selling,Autumn,2018,"Monday, 1:30 -  4:30","Alter, Michael",27,38,0,29,36,0,65,CLO,1,64,1,0,48,17,0,44,21,0
34111-81,Entrepreneurial Selling,Autumn,2018,"Monday, 6:00 -  9:00","Alter, Michael",43,22,0,38,27,0,51,14,0,54,11,0,51,14,0,48,17,0
34901-50,Asset Pricing I,Autumn,2018,"Thursday, 8:30 - 12:00","Constantinides, George;Heaton, John",6,59,0,6,59,N/A,6,59,N/A,6,59,N/A,7,58,0,7,58,N/A
34903-50,Corporate Finance I,Autumn,2018,"Wednesday, 3:00 -  6:00","Diamond, Douglas;He, Zhiguo",8,57,0,8,57,N/A,8,57,N/A,8,57,N/A,9,56,0,9,56,N/A
35000-01,Investments,Autumn,2018,"Wednesday, 8:30 - 11:30","Heaton, John",41,24,0,45,20,0,65,CLO,801,65,CLO,1251,63,2,0,59,6,0
35000-81,Investments,Autumn,2018,"Monday, 6:00 -  9:00","Heaton, John",44,21,0,41,24,0,41,24,N/A,41,24,N/A,52,13,0,53,12,0
35000-85,Investments,Autumn,2018,"Saturday, 1:30 -  4:30","Heaton, John",39,26,0,38,27,0,38,27,N/A,39,26,0,41,24,0,41,24,0
35001-81,Introductory Finance,Autumn,2018,"Wednesday, 6:00 -  9:00","Leftwich, Richard",18,47,0,18,47,0,18,47,N/A,18,47,N/A,37,28,0,43,22,0
35001-85,Introductory Finance,Autumn,2018,"Saturday, 9:00 - 12:00","Leftwich, Richard",17,48,0,16,49,N/A,19,46,0,18,47,0,19,46,0,18,47,0
35122-81,Hedge Fund Investing,Autumn,2018,"Tuesday, 6:00 -  9:00","Small, David",64,6,0,70,CLO,2879,70,CLO,N/A,70,CLO,N/A,70,CLO,5991,70,CLO,8000
35200-01,Corporation Finance,Autumn,2018,"Monday, 8:30 - 11:30","Noel, Pascal",33,32,0,40,25,0,59,6,0,62,3,0,60,5,0,58,7,N/A
35200-02,Corporation Finance,Autumn,2018,"Monday, 1:30 -  4:30","Noel, Pascal",64,1,0,65,CLO,7000,65,CLO,N/A,65,CLO,N/A,65,CLO,762,65,CLO,N/A
35200-81,Corporation Finance,Autumn,2018,"Monday, 6:00 -  9:00","Noel, Pascal",40,25,0,41,24,0,41,24,N/A,41,24,N/A,47,18,0,48,17,0
35201-01,Cases in Financial Management,Autumn,2018,"Wednesday, 8:30 - 11:30","Born, Laura",65,CLO,3001,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,65,CLO,13652,65,CLO,N/A
35201-02,Cases in Financial Management,Autumn,2018,"Wednesday, 1:30 -  4:30","Born, Laura",65,CLO,0,65,CLO,5000,65,CLO,N/A,65,CLO,N/A,65,CLO,2999,65,CLO,N/A
35219-01,Chinese Economy and Financial Markets,Autumn,2018,"Wednesday, 8:30 - 11:30","He, Zhiguo",30,CLO,51,30,CLO,2001,30,CLO,N/A,30,CLO,N/A,29,1,0,30,CLO,4000
35219-81,Chinese Economy and Financial Markets,Autumn,2018,"Tuesday, 6:00 -  9:00","He, Zhiguo",27,13,0,26,14,N/A,26,14,N/A,26,14,N/A,39,1,0,40,CLO,0
35600-60,Seminar: Finance,Autumn,2018,"Tuesday, 1:20 -  2:50","Nagel, Stefan;Noel, Pascal",1,64,0,1,64,N/A,1,64,N/A,1,64,N/A,15,50,0,15,50,N/A
35601-60,Applied Theory Workshop,Autumn,2018,,"Kamenica, Emir",0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A
35901-50,Portfolio Choice and Asset Pricing: Theory and Applications,Autumn,2018,"Monday, Wednesday, 8:30 - 11:30","Fama, Eugene",16,29,0,18,27,N/A,21,24,0,22,23,N/A,26,19,0,26,19,N/A
35930-50,Research Seminar,Autumn,2018,"Monday, 2:50 -  4:20","He, Zhiguo;Nagel, Stefan;Zwick, Eric",1,9,0,1,9,N/A,1,9,N/A,1,9,N/A,6,4,0,7,3,0
36106-01,Managerial Decision Modeling,Autumn,2018,"Thursday, 8:30 - 11:30","Sandikçi, Burhaneddin",45,CLO,854,45,CLO,2608,45,CLO,N/A,45,CLO,N/A,45,CLO,3000,45,CLO,5035
36106-81,Managerial Decision Modeling,Autumn,2018,"Thursday, 6:00 -  9:00","Sandikçi, Burhaneddin",44,1,0,41,4,0,44,1,0,42,3,N/A,45,CLO,4354,45,CLO,101
36110-01,Application Development,Autumn,2018,"Tuesday, 1:30 -  4:30","Betina, Raghu",30,CLO,1111,30,CLO,10199,30,CLO,N/A,30,CLO,N/A,30,CLO,5000,30,CLO,N/A
36110-81,Application Development,Autumn,2018,"Wednesday, 6:00 -  9:00","Betina, Raghu",20,10,0,16,14,N/A,19,11,0,19,11,0,30,CLO,820,30,CLO,6100
36600-60,Workshop in Operations/Management Science,Autumn,2018,"Tuesday,12:10 -  1:20","Candogan, Ozan;Gupta, Varun",2,63,0,2,63,N/A,2,63,N/A,2,63,N/A,5,60,0,5,60,N/A
36900-50,Linear Programming,Autumn,2018,"Tuesday, 8:30 - 11:30","Xin, Linwei",1,18,0,1,18,N/A,4,15,0,4,15,N/A,4,15,N/A,5,14,N/A
37000-01,Marketing Strategy,Autumn,2018,"Thursday, 1:30 -  4:30","Rao, Anita",7,63,0,11,59,0,70,CLO,0,70,CLO,11,65,5,0,64,6,0
37000-02,Marketing Strategy,Autumn,2018,"Friday, 8:30 - 11:30","Rao, Anita",1,69,0,1,69,N/A,27,43,0,28,42,0,18,52,N/A,12,58,N/A
37000-03,Marketing Strategy,Autumn,2018,"Wednesday, 8:30 - 11:30","Shapiro, Bradley",13,57,0,12,58,0,70,CLO,2009,70,CLO,2987,70,CLO,4,70,CLO,6975
37000-04,Marketing Strategy,Autumn,2018,"Wednesday, 1:30 -  4:30","Shapiro, Bradley",10,60,0,14,56,0,70,CLO,3105,70,CLO,3767,70,CLO,1621,70,CLO,0
37000-81,Marketing Strategy,Autumn,2018,"Thursday, 6:00 -  9:00","Rao, Anita",26,44,0,28,42,0,53,17,0,52,18,0,52,18,0,49,21,0
37000-82,Marketing Strategy,Autumn,2018,"Wednesday, 6:00 -  9:00","Shapiro, Bradley",40,CLO,1000,40,CLO,3592,40,CLO,N/A,40,CLO,N/A,40,CLO,6000,40,CLO,4000
37000-85,Marketing Strategy,Autumn,2018,"Saturday, 9:00 - 12:00","Krohn, Christopher",25,40,0,22,43,0,65,CLO,2,58,7,0,60,5,0,63,2,0
37101-01,Consumer Behavior,Autumn,2018,"Thursday, 1:30 -  4:30","Bartels, Daniel",70,CLO,111,70,CLO,6909,70,CLO,N/A,70,CLO,N/A,70,CLO,7001,70,CLO,9180
37200-81,New Products and Services,Autumn,2018,"Tuesday, 6:00 -  9:00","Terrill, Craig",42,23,0,45,20,0,46,19,0,49,16,0,45,20,0,44,21,0
37202-01,Pricing Strategies,Autumn,2018,"Wednesday, 1:30 -  4:30","Dubé, Jean-Pierre",70,CLO,12000,70,CLO,15866,70,CLO,N/A,70,CLO,N/A,70,CLO,36116,70,CLO,N/A
37202-81,Pricing Strategies,Autumn,2018,"Wednesday, 6:00 -  9:00","Dubé, Jean-Pierre",70,CLO,6000,70,CLO,4807,70,CLO,N/A,70,CLO,N/A,70,CLO,14688,70,CLO,N/A
37202-85,Pricing Strategies,Autumn,2018,"Saturday, 9:00 - 12:00","Dubé, Jean-Pierre",70,CLO,10000,70,CLO,14000,70,CLO,N/A,70,CLO,N/A,70,CLO,8002,70,CLO,N/A
37301-81,Digital Marketing ,Autumn,2018,"Friday, 6:00 -  9:00","Mohan, Lil",60,5,0,65,CLO,10,65,CLO,N/A,65,CLO,N/A,65,CLO,346,63,2,N/A
37601-60,Marketing Workshop,Autumn,2018,"Tuesday,10:40 - 12:00","Hitsch, Günter",5,60,0,6,59,0,6,59,N/A,6,59,N/A,5,60,0,5,60,N/A
37903-50,Adv Mktg Theory: Behavioral Science Approach,Autumn,2018,"Monday, 1:00 -  4:00","Sussman, Abigail",0,19,N/A,0,19,N/A,5,14,0,5,14,N/A,5,14,N/A,5,14,N/A
37905-50,Marketing Literature Seminar,Autumn,2018,"Wednesday, 1:30 -  4:30","Rao, Anita;Urminsky, Oleg",4,15,0,4,15,N/A,4,15,N/A,4,15,N/A,9,10,0,8,11,N/A
38001-01,Managing in Organizations,Autumn,2018,"Tuesday, 8:30 - 11:30","McGill, Ann",65,CLO,2069,65,CLO,9848,65,CLO,N/A,65,CLO,N/A,65,CLO,15000,65,CLO,N/A
38001-02,Managing in Organizations,Autumn,2018,"Tuesday, 1:30 -  4:30","McGill, Ann",65,CLO,2085,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A
38001-81,Managing in Organizations,Autumn,2018,"Monday, 6:00 -  9:00","McGill, Ann",65,CLO,799,62,3,0,65,CLO,6001,65,CLO,N/A,65,CLO,8001,65,CLO,11360
38002-01,Managerial Decision Making,Autumn,2018,"Tuesday, 1:30 -  4:30","Hastie, Reid",25,40,0,29,36,0,35,30,0,34,31,0,37,28,0,33,32,0
38002-02,Managerial Decision Making,Autumn,2018,"Wednesday, 1:30 -  4:30","Hastie, Reid",14,51,0,20,45,0,26,39,0,30,35,0,30,35,0,32,33,0
38002-81,Managerial Decision Making,Autumn,2018,"Wednesday, 6:00 -  9:00","Hastie, Reid",18,47,0,18,47,0,20,45,0,20,45,N/A,21,44,0,23,42,0
38101-81,Persuasion: Effective Business Communication ⑤,Autumn,2018,"Thursday, 6:00 -  9:00","Weitzman, Hal",36,CLO,3199,36,CLO,11000,36,CLO,N/A,36,CLO,N/A,36,CLO,4954,36,CLO,5898
38103-01,Strategies and Processes of Negotiation,Autumn,2018,"Wednesday, 8:30 - 11:30","Shah, Anuj",43,12,0,47,8,0,55,CLO,5540,55,CLO,N/A,55,CLO,9211,55,CLO,N/A
38103-02,Strategies and Processes of Negotiation,Autumn,2018,"Thursday, 8:30 - 11:30","Shah, Anuj",55,CLO,1,55,CLO,1444,55,CLO,N/A,55,CLO,N/A,55,CLO,4713,55,CLO,4000
38103-03,Strategies and Processes of Negotiation,Autumn,2018,"Monday, 1:30 -  4:30","Talhelm, Thomas",18,37,0,22,33,0,55,CLO,0,55,CLO,1946,54,1,0,50,5,0
38103-04,Strategies and Processes of Negotiation,Autumn,2018,"Tuesday, 1:30 -  4:30","Talhelm, Thomas",17,38,0,21,34,0,55,CLO,0,55,CLO,1543,55,CLO,0,51,4,N/A
38103-81,Strategies and Processes of Negotiation,Autumn,2018,"Thursday, 6:00 -  9:00","Shah, Anuj",55,CLO,2010,55,CLO,101,55,CLO,N/A,55,CLO,N/A,55,CLO,8094,55,CLO,N/A
38103-82,Strategies and Processes of Negotiation,Autumn,2018,"Monday, 6:00 -  9:00","Talhelm, Thomas",23,32,0,23,32,0,27,28,0,26,29,N/A,28,27,0,33,22,0
38115-01,Ethics of Business,Autumn,2018,"Friday, 1:30 -  4:30","Rollert, John",10,55,0,11,54,0,16,49,0,18,47,0,16,49,0,15,50,0
38115-85,Ethics of Business,Autumn,2018,"Saturday, 1:30 -  4:30","Rollert, John",36,29,0,30,35,0,42,23,0,38,27,N/A,31,34,0,28,37,0
38116-01,Leading and Managing Teams,Autumn,2018,"Tuesday, 3:00 -  6:00","Zinchenko, Elena",30,35,0,36,29,0,52,13,0,57,8,0,47,18,0,46,19,0
38116-81,Leading and Managing Teams,Autumn,2018,"Monday, 6:00 -  9:00","Zinchenko, Elena",61,4,0,65,CLO,500,65,CLO,N/A,65,CLO,N/A,63,2,0,64,1,0
38601-60,Workshop in Behavioral Science,Autumn,2018,"Monday,10:10 - 11:30","Levine, Emma;Risen, Jane",8,57,0,8,57,N/A,9,56,0,9,56,N/A,12,53,0,13,52,0
38913-50,Foundations of Judgment and Decision Making,Autumn,2018,"Thursday, 2:00 -  5:00","Hastie, Reid;Wu, George",8,57,0,8,57,N/A,15,50,0,15,50,N/A,15,50,N/A,16,49,0
39001-01,Strategy and Structure: Markets and Organizations,Autumn,2018,"Thursday, 1:30 -  4:30","Sharkey, Amanda",4,61,0,6,59,0,53,12,0,65,CLO,7,57,8,0,49,16,0
39001-02,Strategy and Structure: Markets and Organizations,Autumn,2018,"Thursday, 8:30 - 11:30","Sharkey, Amanda",12,53,0,10,55,0,12,53,0,10,55,N/A,13,52,0,11,54,0
39001-85,Strategy and Structure: Markets and Organizations,Autumn,2018,"Saturday, 9:00 - 12:00","Sharkey, Amanda",42,28,0,42,28,0,65,5,0,59,11,0,58,12,0,60,10,0
39101-01,Technology Strategy,Autumn,2018,"Monday, 8:30 - 11:30","Knez, Marc",65,CLO,101,65,CLO,2050,65,CLO,N/A,65,CLO,N/A,65,CLO,3888,65,CLO,N/A
39101-81,Technology Strategy,Autumn,2018,"Tuesday, 6:00 -  9:00","Knez, Marc",39,1,0,35,5,0,35,5,N/A,35,5,N/A,40,CLO,100,40,CLO,1003
39600-60,Workshop in Organizations and Markets,Autumn,2018,"Tuesday, 3:00 -  5:00","Bergemann, Patrick",0,24,N/A,0,24,N/A,0,24,N/A,0,24,N/A,1,23,0,1,23,N/A
40000-01,Operations Management: Business Process Fundamentals,Autumn,2018,"Friday, 8:30 - 11:30","Caldentey, Rene",16,49,0,15,50,0,48,17,0,45,20,0,39,26,0,37,28,0
40000-81,Operations Management: Business Process Fundamentals,Autumn,2018,"Thursday, 6:00 -  9:00","Caldentey, Rene",39,26,0,38,27,0,48,17,0,46,19,0,47,18,0,48,17,0
40110-01,Managing Service Operations,Autumn,2018,"Thursday, 1:30 -  4:30","Eisenstein, Donald",45,CLO,2434,45,CLO,6000,45,CLO,N/A,45,CLO,N/A,45,CLO,7259,45,CLO,N/A
40110-81,Managing Service Operations,Autumn,2018,"Wednesday, 6:00 -  9:00","Eisenstein, Donald",34,11,0,33,12,0,41,4,0,39,6,N/A,45,CLO,4107,45,CLO,4453
40110-85,Managing Service Operations,Autumn,2018,"Saturday, 1:30 -  4:30","Eisenstein, Donald",45,CLO,3251,45,CLO,N/A,45,CLO,N/A,45,CLO,N/A,45,CLO,7003,45,CLO,8000
41000-01,Business Statistics,Autumn,2018,"Friday, 8:30 - 11:30","Liang, Tengyuan",2,63,0,2,63,N/A,32,33,0,65,CLO,0,65,CLO,0,65,CLO,0
41000-02,Business Statistics,Autumn,2018,"Friday, 1:30 -  4:30","Liang, Tengyuan",1,64,0,0,65,N/A,65,CLO,0,65,CLO,478,63,2,N/A,65,CLO,0
41000-03,Business Statistics,Autumn,2018,"Tuesday, 1:30 -  4:30","Russell, Jeffrey",7,58,0,9,56,0,65,CLO,2009,65,CLO,N/A,65,CLO,7503,65,CLO,N/A
41000-04,Business Statistics,Autumn,2018,"Monday, 8:30 - 11:30","Gilula, Zvi",0,65,N/A,0,65,N/A,55,10,0,65,CLO,4001,65,CLO,5033,65,CLO,7198
41000-05,Business Statistics,Autumn,2018,"Monday, 1:30 -  4:30","Gilula, Zvi",0,65,N/A,1,64,0,65,CLO,101,65,CLO,N/A,64,1,N/A,65,CLO,3581
41000-81,Business Statistics,Autumn,2018,"Friday, 6:00 -  9:00","Liang, Tengyuan",11,54,0,9,56,N/A,26,39,0,27,38,0,37,28,0,37,28,0
41000-82,Business Statistics,Autumn,2018,"Tuesday, 6:00 -  9:00","Russell, Jeffrey",39,26,0,37,28,0,65,CLO,253,65,CLO,500,65,CLO,4000,65,CLO,5891
41000-85,Business Statistics,Autumn,2018,"Saturday, 9:00 - 12:00","Polson, Nicholas",5,60,0,5,60,N/A,31,34,0,19,46,0,26,39,0,24,41,N/A
