Quarter,Section,Title,Program,Instructor,,Meeting Day/Time,Building,Location,Prerequisites,Syllabus,Note
Autumn 2020,30130-02,Financial Statement Analysis,Full-Time MBA,"Minnis, Michael",,T 1:30PM-4:30PM,Gleacher Center,200,Bus 30000 (or 30116) and Bus 35000 (or 35001) strongly recommended.  Bus 35200 strongly recommended (may be concurrent).  Cannot enroll in BUSN 30130 if BUSN 20150 taken previously.,Syllabus,"Faculty Remote, Dual Modality"
Winter 2021,30130-01,Financial Statement Analysis,Full-Time MBA,"Smith, Abbie",,M 1:30PM-4:30PM,,TBA,Bus 30000 (or 30116) and Bus 35000 (or 35001) are strongly recommended prior to taking this class to provide a foundation in financial accounting and the Capital Asset Pricing Model.  Cannot enroll in BUSN 30130 if BUSN 20150 taken previously.,Syllabus,Remote-Only
Spring 2021,30130-01,Financial Statement Analysis,Full-Time MBA,"Hand, John",,F 1:30PM-4:30PM,,TBA,BUSN 30000 (Financial Accounting) or equiv: strict. BUSN 35200 (Corporation Finance) strongly recommended. BUSN 35000 (Investments) may be helpful. You may not enroll in BUSN 30130 if you have previously taken BUSN 20150.,Syllabus,Remote-Only
Winter 2021,30131-01,Advanced Financial Analysis and Valuation for Global Firms,Full-Time MBA,"Leuz, Christian",,T 1:30PM-4:30PM,,TBA,Basic familiarity with corporate valuation & DCF analysis. Bus 30000 or equiv necessary. Review valuation tutorial and exercise to confirm sufficient knowledge: https://canvas.uchicago.edu/enroll/C397XG,Syllabus,Remote-Only
Winter 2021,30131-02,Advanced Financial Analysis and Valuation for Global Firms,Full-Time MBA,"Leuz, Christian",,W 1:30PM-4:30PM,,TBA,Basic familiarity with corporate valuation & DCF analysis. Bus 30000 or equiv necessary. Review valuation tutorial and exercise to confirm sufficient knowledge: https://canvas.uchicago.edu/enroll/C397XG,Syllabus,Remote-Only
Autumn 2020,31401-01,Interpersonal Dynamics,Full-Time MBA,"Pure, Darryl",,T 8:30AM-11:30AM,,TBA,No non-Booth students.,Syllabus,Remote-Only
Autumn 2020,31401-02,Interpersonal Dynamics,Full-Time MBA,"Carpenter, Christine",,W 1:30PM-4:30PM,,TBA,No non-Booth students.,Syllabus,Remote-Only
Autumn 2020,31401-03,Interpersonal Dynamics,Full-Time MBA,"Volden, Richard",,W 8:30AM-11:30AM,,TBA,No non-Booth students.,Syllabus,Remote-Only
Winter 2021,31401-01,Interpersonal Dynamics,Full-Time MBA,"Pure, Darryl",,T 8:30AM-11:30AM,,TBA,No non-Booth students.,Syllabus,Remote-Only
Winter 2021,31401-02,Interpersonal Dynamics,Full-Time MBA,"Carpenter, Christine",,W 1:30PM-4:30PM,,TBA,No non-Booth students.,Syllabus,Remote-Only
Winter 2021,31401-03,Interpersonal Dynamics,Full-Time MBA,"Stefanac, Lisa",,M 1:30PM-4:30PM,,TBA,No non-Booth students.,Syllabus,Remote-Only
Spring 2021,31401-01,Interpersonal Dynamics,Full-Time MBA,"Pure, Darryl",,TH 8:30AM-11:30AM,,TBA,No non-Booth students.,Syllabus,Remote-Only
Spring 2021,31401-02,Interpersonal Dynamics,Full-Time MBA,"Carpenter, Christine",,W 8:30AM-11:30AM,,TBA,No non-Booth students.,Syllabus,Remote-Only
Spring 2021,31401-03,Interpersonal Dynamics,Full-Time MBA,"Raphling, Britt",,M 8:30AM-11:30AM,,TBA,No non-Booth students.,Syllabus,Remote-Only
Winter 2021,31402-01,Leadership Practicum,Full-Time MBA,"Collins, Chris",,W 8:30AM-11:30AM,,TBA,,Syllabus,Remote-Only
Spring 2021,31402-01,Leadership Practicum,Full-Time MBA,"Collins, Chris",,W 8:30AM-11:30AM,,TBA,,Syllabus,Remote-Only
Winter 2021,31403-01,Leadership Studio,Full-Time MBA,"Davis, Harry"," Tennant, Nancy",T 1:30PM-4:30PM,,TBA,LEAD (31001),Syllabus,Remote-Only
Spring 2021,31403-01,Leadership Studio,Full-Time MBA,"Davis, Harry"," Tennant, Nancy",T 1:30PM-4:30PM,,TBA,LEAD (31001),Syllabus,Remote-Only
Spring 2021,31702-01,Leadership Effectiveness and Development (LEAD) Lab ,Full-Time MBA,"Vishny, Robert",,F 12:00PM-4:30PM,,TBA,Application only. Booth students only.  Spring Quarter – Fridays 12:00-4:30 pm and Wednesdays 4:40-6:00 pm.  Autumn Quarter – Mondays 4:45-7:45 pm,No Syllabus Available,Remote-Only
Spring 2021,32100-01,Data Analysis with R and Python,Full-Time MBA,"Wang, Xikuan",,F 8:30AM-11:30AM,,TBA,None.  Cannot enroll in BUSN 32100 if BUSN 41205 taken previously: strict.,Syllabus,Remote-Only
Spring 2021,32100-02,Data Analysis with R and Python,Full-Time MBA,"Lu, Haihao",,TH 8:30AM-11:30AM,,TBA,,Syllabus,Remote-Only
Winter 2021,32200-01,Artificial Intelligence,Full-Time MBA,"Mullainathan, Sendhil",,M 1:30PM-4:30PM,,TBA,,Syllabus,Remote-Only
Autumn 2020,33001-01,Microeconomics,Full-Time MBA,"Dizon-Ross, Rebecca",,T 1:30PM-4:30PM,,TBA,"Solid understanding of algebra and basic calculus, including the ability to analyze and understand derivatives.",Syllabus,Remote-Only
Autumn 2020,33001-02,Microeconomics,Full-Time MBA,"Dizon-Ross, Rebecca",,W 8:30AM-11:30AM,,TBA,"Solid understanding of algebra and basic calculus, including the ability to analyze and understand derivatives.",Syllabus,Remote-Only
Autumn 2020,33001-03,Microeconomics,Full-Time MBA,"Frankel, Alexander",,F 1:30PM-4:30PM,,TBA,"Understanding of algebra and basic calculus, including derivatives.",Syllabus,Remote-Only
Autumn 2020,33001-04,Microeconomics,Full-Time MBA,"Hornbeck, Richard",,M 8:30AM-11:30AM,,TBA,Understanding of algebra & basic calculus (derivatives).,Syllabus,Remote-Only
Autumn 2020,33001-05,Microeconomics,Full-Time MBA,"Hornbeck, Richard",,M 1:30PM-4:30PM,,TBA,Understanding of algebra & basic calculus (derivatives).,Syllabus,Remote-Only
Autumn 2020,33001-06,Microeconomics,Full-Time MBA,"Gibbs, Michael",,W 1:30PM-4:30PM,Gleacher Center,200,Understanding of basic calculus (derivatives).,Syllabus,"Faculty Remote, Dual Modality"
Autumn 2020,33001-07,Microeconomics,Full-Time MBA,"Gibbs, Michael",,TH 1:30PM-4:30PM,Gleacher Center,100,Understanding of basic calculus (derivatives).,Syllabus,"Faculty Remote, Dual Modality"
Winter 2021,33001-01,Microeconomics,Full-Time MBA,"McClellan, Andrew",,W 8:30AM-11:30AM,,TBA,"Solid understanding of algebra and calculus, including the ability to take derivatives.",Syllabus,Remote-Only
Spring 2021,33001-01,Microeconomics,Full-Time MBA,"Rappoport, Daniel",,TH 1:30PM-4:30PM,,TBA,Students should have a working understanding of algebra and differential calculus.,Syllabus,Remote-Only
Spring 2021,33002-01,Accelerated Microeconomics,Full-Time MBA,"Topel, Robert",,W 8:30AM-11:30AM,Harper Center,C25,"A course in intermediate microeconomics at the university level is useful but not essential.  In addition, students should be comfortable using basic mathematical tools such as graphing curves, solving simple systems of equations, and basic calculus.",Syllabus,"Faculty In-Person, Dual Modality"
Spring 2021,33032-01,Managing the Workplace,Full-Time MBA,"Prendergast, Canice",,F 8:30AM-11:30AM,,TBA,,Syllabus,Remote-Only
Autumn 2020,33040-01,Macroeconomics,Full-Time MBA,"Vavra, Joseph",,W 10:10AM-11:30AM,,TBA,Business 33001 or equiv. recommended.,Syllabus,Remote-Only
Autumn 2020,33040-02,Macroeconomics,Full-Time MBA,"Vavra, Joseph",,W 12:00PM-1:20PM,,TBA,Business 33001 or equiv. recommended.,Syllabus,Remote-Only
Winter 2021,33040-01,Macroeconomics,Full-Time MBA,"Hurst, Erik",,F 8:30AM-11:30AM,,TBA,Bus 33001 or equiv. (recommended).,Syllabus,Remote-Only
Winter 2021,33040-02,Macroeconomics,Full-Time MBA,"Huizinga, John",,T 1:30PM-4:30PM,,TBA,Bus 33001 or equiv.,Syllabus,Remote-Only
Spring 2021,33040-01,Macroeconomics,Full-Time MBA,"Guerrieri, Veronica",,TH 8:30AM-11:30AM,,TBA,Bus 33001 or equiv.,Syllabus,Remote-Only
Spring 2021,33040-02,Macroeconomics,Full-Time MBA,"Guerrieri, Veronica",,TH 1:30PM-4:30PM,,TBA,Bus 33001 or equiv.,Syllabus,Remote-Only
Autumn 2020,33101-01,Advanced Microeconomic Analysis,Full-Time MBA,"Murphy, Kevin",,W 8:30AM-11:30AM,Harper Center,C25,,Syllabus,"Faculty In-Person, Dual Modality"
Winter 2021,33112-01,Business in Historical Perspective,Full-Time MBA,"Hornbeck, Richard",,M 1:30PM-4:30PM,,TBA,None,Syllabus,Remote-Only
Spring 2021,33305-01,The Firm and the Non-Market Environment,Full-Time MBA,"Bertrand, Marianne",,TH 1:30PM-4:30PM,,TBA,,Syllabus,Remote-Only
Spring 2021,33314-01,Big Problems,Full-Time MBA,"Murphy, Kevin"," Topel, Robert",T 1:35PM-4:35PM,,TBA,"Bus 33001, 33002, or 33101:  strict.  33002 or 33101 preferred.",Syllabus,Remote-Only
Winter 2021,33401-01,Money and Banking,Full-Time MBA,"Huber, Kilian",,TH 8:30AM-11:30AM,Harper Center,C25,"There are no essential prerequisites. Familiarity with basic micro- and macroeconomics is helpful (for example, Business 33001 and 33040).",Syllabus,"Faculty In-Person, Dual Modality"
Spring 2021,33403-01,Advanced Macroeconomics,Full-Time MBA,"Kashyap, Anil",,T 8:30AM-11:30AM,,TBA,BUS 33040 (or equiv) and 41000 (or equiv). Ability to estimate & interpret a multiple regression.,Syllabus,Remote-Only
Winter 2021,33450-01,Real Estate Investments I,Full-Time MBA,"Pagliari, Joseph",,TH 1:30PM-4:30PM,,TBA,"Bus 33001 and 35000 recommended.  Working knowledge of Excel and a familiarity with finance, accounting and statistics.",Syllabus,Remote-Only
Winter 2021,33471-01,"Business, Politics, and Ethics",Full-Time MBA,"Barry, Brian",,T 8:30AM-11:30AM,,TBA,Students who have taken BUS 38114 and/or 38115 cannot take BUSF 33471: strict. At least 4 previous Booth MBA classes strongly recom'd. Booth MBA students only: strict. No auditors: strict.,Syllabus,Remote-Only
Spring 2021,33471-01,"Business, Politics, and Ethics",Full-Time MBA,"Barry, Brian",,T 8:30AM-11:30AM,,TBA,Students who have taken BUS 38114 and/or 38115 cannot take BUSF 33471: strict. At least 4 previous Booth MBA classes strongly recom'd. Booth MBA students only: strict. No auditors: strict.,Syllabus,Remote-Only
Autumn 2020,33501-01,International Commercial Policy,Full-Time MBA,"Adao, Rodrigo",,M 1:30PM-4:30PM,,TBA,Familiarity with the concepts taught in Microeconomics (Bus 33001). This course employs quantitative reasoning.,Syllabus,Remote-Only
Autumn 2020,33501-02,International Commercial Policy,Full-Time MBA,"Adao, Rodrigo",,TH 1:30PM-4:30PM,Gleacher Center,206,Familiarity with the concepts taught in Microeconomics (Bus 33001). This course employs quantitative reasoning.,Syllabus,"Faculty In-Person, Dual Modality"
Autumn 2020,33502-01,International Financial Policy,Full-Time MBA,"Neiman, Brent",,T 1:30PM-4:30PM,,TBA,"Bus 33502 or equiv. recommended, but not required.  Cannot enroll in BUSN 33502 if BUSN 20230 taken previously.",Syllabus,Remote-Only
Spring 2021,33502-01,International Financial Policy,Full-Time MBA,"Kekre, Rohan",,TH 1:30PM-4:30PM,,TBA,Bus 33040 or equivalent.  Cannot enroll in BUSN 33502 if BUSN 20230 taken previously.,Syllabus,Remote-Only
Winter 2021,33503-01,Managing the Firm in the Global Economy,Full-Time MBA,"Dingel, Jonathan",,TH 8:30AM-11:30AM,,TBA,Bus 33001 or equiv.  This is an economics class that employs quantitative reasoning.,Syllabus,Remote-Only
Autumn 2020,33520-01,The Wealth of Nations,Full-Time MBA,"Hsieh, Chang-Tai",,M 1:30PM-3:00PM,,TBA,"Bus 33001 recommended, but not required.",Syllabus,Remote-Only
Spring 2021,33701-01,Energy Policy Practicum,Full-Time MBA,"Topel, Robert",,W 1:30PM-4:30PM,,TBA,BUSN 33701=PPHA 51700. PQ: Micro course at the level of Bus 33001 or equiv.,Syllabus,Remote-Only
Autumn 2020,34101-01,Entrepreneurial Finance and Private Equity,Full-Time MBA,"Kaplan, Steven",,MW 10:10AM-11:30AM,,TBA,"At least one of 35200, 35201, 35902 or 30130: strict (or with permission). Instructor permission req'd for auditors.",Syllabus,Remote-Only
Autumn 2020,34101-02,Entrepreneurial Finance and Private Equity,Full-Time MBA,"Kaplan, Steven",,MW 1:30PM-2:50PM,,TBA,"At least one of 35200, 35201, 35902 or 30130: strict (or with permission). Instructor permission req'd for auditors.",Syllabus,Remote-Only
Winter 2021,34101-01,Entrepreneurial Finance and Private Equity,Full-Time MBA,"Meadow, Scott",,F 8:30AM-11:30AM,,TBA,None. Bus 33001 and 35200 recommended.  Bus 30130 helpful.,Syllabus,Remote-Only
Spring 2021,34101-01,Entrepreneurial Finance and Private Equity,Full-Time MBA,"Zwick, Eric",,W 1:30PM-4:30PM,,TBA,"Bus 33001 (or 33002), 35000 (or 35901), and 35200: strict. Bus 30130 helpful.",Syllabus,Remote-Only
Autumn 2020,34102-01,New Venture Strategy,Full-Time MBA,"Schrager, James",,TH 1:30PM-4:30PM,,TBA,One half of MBA program (at least 10 classes: strict).  It is mandatory to attend the first class session.,Syllabus,Remote-Only
Winter 2021,34102-01,New Venture Strategy,Full-Time MBA,"Schrager, James",,F 1:30PM-4:30PM,,TBA,One half of MBA program (at least 10 classes: strict).  It is mandatory to attend the first class session.,Syllabus,Remote-Only
Winter 2021,34102-02,New Venture Strategy,Full-Time MBA,"Bunch, Gregory",,TH 1:30PM-4:30PM,,TBA,"It is mandatory to attend the first class session, even if the student has not been formally admitted.",Syllabus,Remote-Only
Spring 2021,34102-01,New Venture Strategy,Full-Time MBA,"Schrager, James",,TH 1:30PM-4:30PM,,TBA,One half of MBA program (at least 10 classes: strict).  It is mandatory to attend the first class session.,Syllabus,Remote-Only
Winter 2021,34103-01,Building the New Venture,Full-Time MBA,"Lyman, Lindsey",,TH 8:30AM-11:30AM,,TBA,Grad students only. No undergrads (including Dougan Scholars). Grad students from other divisions can enroll during Non-Booth registration period. Must attend week 1 class. Cannot enroll in BUSN 34103 if BUSN 20330 taken previously.,Syllabus,Remote-Only
Spring 2021,34104-01,Special Topics in Entrepreneurship: Developing a New Venture (New Venture Challenge),Full-Time MBA,"Kaplan, Steven",,M 1:30PM-5:30PM,,TBA,Advancement to second round of New Venture Challenge: strict.  Cannot enroll in BUSN 34104 if BUSN 20340 taken previously.,Syllabus,Remote-Only
Autumn 2020,34106-01,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Full-Time MBA,"Meadow, Scott",,TH 1:30PM-4:30PM,,TBA,"None. Bus 30130, 33001, 34101, 34102, 35200 helpful, but not required.",Syllabus,Remote-Only
Spring 2021,34106-01,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Full-Time MBA,"Meadow, Scott",,F 8:30AM-11:30AM,,TBA,"None. Bus 30130, 33001, 34101, 34102, 35200 helpful, but not required.",Syllabus,Remote-Only
Spring 2021,34108-01,Innovation Leadership,Full-Time MBA,"Lyman, Lindsey",,M 1:30PM-4:30PM,,TBA,"None. No undergrads (including Dougan Scholars). Non-Booth grad students can enroll during Non-Booth registration.  Week 1 attendance mandatory, even if you are not officially registered.",Syllabus,Remote-Only
Autumn 2020,34111-01,Entrepreneurial Selling,Full-Time MBA,"Alter, Michael",,T 1:30PM-4:30PM,Gleacher Center,300,None. Auditors and undergrads need instructor approval: strict.,Syllabus,"Faculty In-Person, Dual Modality"
Winter 2021,34111-01,Entrepreneurial Selling,Full-Time MBA,"Alter, Michael",,T 1:30PM-4:30PM,,TBA,None. Auditors and undergrads need instructor approval: strict.,Syllabus,Remote-Only
Spring 2021,34111-01,Entrepreneurial Selling,Full-Time MBA,"Alter, Michael",,T 1:30PM-4:30PM,,TBA,None. Auditors and undergrads need instructor approval: strict.,Syllabus,Remote-Only
Spring 2021,34115-01,New Social Ventures,Full-Time MBA,"Gertner, Robert",,T 2:00PM-5:00PM,,TBA,Application and permission of instructor.,Syllabus,Remote-Only
Spring 2021,34206-01,"Women As CEOs, Entrepreneurs, Investors, Executives & Directors ",Full-Time MBA,"Rapp, Alyssa",,F 1:30PM-4:30PM,,TBA,,Syllabus,Remote-Only
Winter 2021,34302-01,Entrepreneurship through Acquisition,Full-Time MBA,"O'Connor, Brian"," Agnew, Mark",TH 1:30PM-4:30PM,,TBA,,Syllabus,Remote-Only
Autumn 2020,34305-01,Private Equity Transactions,Full-Time MBA,"Ritchie, Stephen",,T 1:30PM-4:30PM,,TBA,"Prior private equity or investment banking experience, & Bus 34101, helpful but not required.  No Non-Booth and no Dougan Scholars students.",Syllabus,"1st Half : Week 1 - Week 5, 50 Unit Course, Remote-Only"
Winter 2021,34306-01,Entrepreneurship through Intellectual Property,Full-Time MBA,"Fleetwood, Margaret"," Schrankler, Jay",T 1:30PM-4:30PM,,TBA,,No Syllabus Available,Remote-Only
Autumn 2020,34705-01,Entrepreneurial Discovery,Full-Time MBA,"Tebbe, Mark",,T 1:30PM-4:30PM,Gleacher Center,204,"Strong interest in customer-oriented design, bus. model dev't, start-up entrep. (or corp intrapreneurship). Skill sets such as experience in bus., tech, design, or prod mgmt valued.",Syllabus,"Faculty Remote, Dual Modality"
Autumn 2020,34705-02,Entrepreneurial Discovery,Full-Time MBA,"Tebbe, Mark",,W 1:30PM-4:30PM,Harper Center,C25,"Strong interest in customer-oriented design, bus. model dev't, start-up entrep. (or corp intrapreneurship). Skill sets such as experience in bus., tech, design, or prod mgmt valued.",Syllabus,"Faculty Remote, Dual Modality"
Winter 2021,34709-01,Lab to Launch,Full-Time MBA,"Blumberg, Jason"," Crandell, Keith",F 8:30AM-11:30AM,,TBA,"Application will begin Sept. 30th.  They may be submitted anytime and will be reviewed on a rolling basis until the class is filled. Cannot enroll in BUSN 34709 if 34706 taken previously: strict.  No undergraduate students, including Dougan Scholars.",Syllabus,Remote-Only
Winter 2021,34722-01,Scaling Social Innovation Search Lab,Full-Time MBA,"Hachikian, Christina",,M 1:30PM-4:30PM,,TBA,None.  Application only: strict.,Syllabus,Remote-Only
Autumn 2020,35000-01,Investments,Full-Time MBA,"Heaton, John",,M 8:30AM-11:30AM,Gleacher Center,400,"Bus 33001 (or 33002), & 41000 or 41100 (or approved substitutes): strict. Comfortable w/ basic prob, stats, calc, & micro @ level of above. Will use spreadsheet or other statistics computer program.  Cannot enroll in 35000 if 20400 taken previously.",Syllabus,"Faculty Remote, Dual Modality"
Autumn 2020,35000-02,Investments,Full-Time MBA,"Heaton, John",,M 1:30PM-4:30PM,Gleacher Center,400,"Bus 33001 (or 33002), & 41000 or 41100 (or approved substitutes): strict. Comfortable w/ basic prob, stats, calc, & micro @ level of above. Will use spreadsheet or other statistics computer program.  Cannot enroll in 35000 if 20400 taken previously.",Syllabus,"Faculty Remote, Dual Modality"
Winter 2021,35000-01,Investments,Full-Time MBA,"Weber, Michael",,F 1:30PM-4:30PM,,TBA,"Bus 30000, 33001, & 41000 (or 41100). Comfortable w/ stats, linear & matrix algebra, calc, & micro @ the level of above courses. Familiarity w/ spreadsheet package such as Excel is vital.  Cannot enroll in BUSN 35000 if BUSN 20400 taken previously.",Syllabus,Remote-Only
Winter 2021,35000-02,Investments,Full-Time MBA,"Chinco, Alex",,M 1:30PM-4:30PM,,TBA,"Bus 30000, 33001, and 41000 (or 41100). Comfortable with stats, linear & matrix algebra, calculus & micro at level of above courses. Familiarity w/ spreadsheet package such as Excel vital.  Cannot enroll in BUSN 35000 if BUSN 20400 taken previously.",Syllabus,Remote-Only
Spring 2021,35000-01,Investments,Full-Time MBA,"Gormsen, Niels",,T 8:30AM-11:30AM,,TBA,"Bus 30000 & 33001 recommended, & 41000 (or 41100) req’d: strict. This is a quantitative course. Comfortable w/ stats, linear algebra, calc, & micro @ level of above. Familiar w/ spreadsheet package such as Excel. Can’t enroll in 35000 if 20400 taken.",Syllabus,Remote-Only
Spring 2021,35000-02,Investments,Full-Time MBA,"Gormsen, Niels",,W 1:30PM-4:30PM,,TBA,"Bus 30000 & 33001 recommended, & 41000 (or 41100) req’d: strict. This is a quantitative course. Comfortable w/ stats, linear algebra, calc, & micro @ level of above. Familiar w/ spreadsheet package such as Excel. Can’t enroll in 35000 if 20400 taken.",Syllabus,Remote-Only
Autumn 2020,35001-01,Introductory Finance,Full-Time MBA,"Bhattacharya, Ayan",,M 8:30AM-11:30AM,Harper Center,C25,It is <i>strongly</i> recommended that students take Business 30000 prior to taking Business 35001.,Syllabus,Dual Modality
Spring 2021,35120-01,Portfolio Management,Full-Time MBA,"Pastor, Lubos",,F 8:30AM-11:30AM,,TBA,"Bus 35000: strict, and either 41100 or 41000 strongly recommended.  Comfortable w/ basic applications of stats & regression analysis.  Must adhere to Booth Honor Code & Standards of Scholarship.  No non-Booth students.",Syllabus,Remote-Only
Spring 2021,35120-02,Portfolio Management,Full-Time MBA,"Pastor, Lubos",,F 1:30PM-4:30PM,,TBA,"Bus 35000: strict, and either 41100 or 41000 strongly recommended.  Comfortable w/ basic applications of stats & regression analysis.  Must adhere to Booth Honor Code & Standards of Scholarship.  No non-Booth students.",Syllabus,Remote-Only
Spring 2021,35121-01,Behavioral Finance,Full-Time MBA,"Hartzmark, Samuel",,W 1:30PM-4:30PM,,TBA,Bus 35000 & 41100. Comfortable applying stats & multivariate regression to data & interpreting results. Knowledge of regression package (such as Excel) essential.  Can take before or after 35215.,Syllabus,Remote-Only
Spring 2021,35123-01,The FinTech Revolution,Full-Time MBA,"Zingales, Luigi",,T 8:30AM-11:30AM,Harper Center,C25,,Syllabus,"Faculty In-Person, Dual Modality"
Winter 2021,35126-01,Quantitative Portfolio Management,Full-Time MBA,"Koijen, Ralph",,TH 1:30PM-4:30PM,,TBA,"Bus 30000 and 33001 are recommended. Bus 41000 (or 41100): strict. Students must be comfortable with statistics, regression analysis, and micro at level of above courses. No prior knowledge of Python is required.",Syllabus,Remote-Only
Autumn 2020,35200-01,Corporation Finance,Full-Time MBA,"Nelson, Scott",,W 8:30AM-11:30AM,Gleacher Center,400,"30000, 33001, 35000 (strict, not concurrent) & 41000 (or 41100). 35000 waivers may be granted based on substantial invest. coursework or CFA level 2or+. Invest. work exp & corp fin courses don’t satisfy 35000 pq. Can’t enroll in 35200 if 20410 taken.",Syllabus,"Faculty In-Person, Dual Modality"
